year,city,country,avg_temp
1755,Ankara,Turkey,9.62
1756,Ankara,Turkey,10.99
1757,Ankara,Turkey,10.82
1758,Ankara,Turkey,8.33
1759,Ankara,Turkey,9.93
1760,Ankara,Turkey,9.28
1761,Ankara,Turkey,
1762,Ankara,Turkey,
1763,Ankara,Turkey,
1764,Ankara,Turkey,
1765,Ankara,Turkey,
1766,Ankara,Turkey,
1767,Ankara,Turkey,
1768,Ankara,Turkey,
1769,Ankara,Turkey,
1770,Ankara,Turkey,
1771,Ankara,Turkey,
1772,Ankara,Turkey,
1773,Ankara,Turkey,
1774,Ankara,Turkey,11.01
1775,Ankara,Turkey,11.22
1776,Ankara,Turkey,10.10
1777,Ankara,Turkey,10.08
1778,Ankara,Turkey,10.74
1779,Ankara,Turkey,10.82
1780,Ankara,Turkey,10.97
1781,Ankara,Turkey,10.47
1782,Ankara,Turkey,9.96
1783,Ankara,Turkey,10.02
1784,Ankara,Turkey,10.31
1785,Ankara,Turkey,9.51
1786,Ankara,Turkey,10.10
1787,Ankara,Turkey,10.45
1788,Ankara,Turkey,10.48
1789,Ankara,Turkey,10.61
1790,Ankara,Turkey,10.37
1791,Ankara,Turkey,10.87
1792,Ankara,Turkey,10.26
1793,Ankara,Turkey,10.15
1794,Ankara,Turkey,10.65
1795,Ankara,Turkey,10.58
1796,Ankara,Turkey,10.45
1797,Ankara,Turkey,10.96
1798,Ankara,Turkey,10.79
1799,Ankara,Turkey,10.33
1800,Ankara,Turkey,10.58
1801,Ankara,Turkey,11.16
1802,Ankara,Turkey,11.28
1803,Ankara,Turkey,10.35
1804,Ankara,Turkey,10.64
1805,Ankara,Turkey,10.22
1806,Ankara,Turkey,10.69
1807,Ankara,Turkey,10.74
1808,Ankara,Turkey,9.70
1809,Ankara,Turkey,9.13
1810,Ankara,Turkey,9.35
1811,Ankara,Turkey,9.45
1812,Ankara,Turkey,9.12
1813,Ankara,Turkey,9.49
1814,Ankara,Turkey,9.75
1815,Ankara,Turkey,9.37
1816,Ankara,Turkey,9.10
1817,Ankara,Turkey,9.43
1818,Ankara,Turkey,10.08
1819,Ankara,Turkey,9.84
1820,Ankara,Turkey,9.79
1821,Ankara,Turkey,9.75
1822,Ankara,Turkey,9.63
1823,Ankara,Turkey,10.21
1824,Ankara,Turkey,11.12
1825,Ankara,Turkey,9.89
1826,Ankara,Turkey,9.84
1827,Ankara,Turkey,11.03
1828,Ankara,Turkey,9.93
1829,Ankara,Turkey,9.76
1830,Ankara,Turkey,10.19
1831,Ankara,Turkey,9.68
1832,Ankara,Turkey,8.53
1833,Ankara,Turkey,9.87
1834,Ankara,Turkey,9.78
1835,Ankara,Turkey,9.41
1836,Ankara,Turkey,9.97
1837,Ankara,Turkey,9.41
1838,Ankara,Turkey,9.19
1839,Ankara,Turkey,9.55
1840,Ankara,Turkey,9.25
1841,Ankara,Turkey,10.39
1842,Ankara,Turkey,9.87
1843,Ankara,Turkey,9.99
1844,Ankara,Turkey,9.76
1845,Ankara,Turkey,10.31
1846,Ankara,Turkey,10.67
1847,Ankara,Turkey,10.31
1848,Ankara,Turkey,10.46
1849,Ankara,Turkey,10.10
1850,Ankara,Turkey,9.66
1851,Ankara,Turkey,10.71
1852,Ankara,Turkey,10.16
1853,Ankara,Turkey,11.13
1854,Ankara,Turkey,9.84
1855,Ankara,Turkey,10.39
1856,Ankara,Turkey,9.83
1857,Ankara,Turkey,9.26
1858,Ankara,Turkey,9.79
1859,Ankara,Turkey,10.35
1860,Ankara,Turkey,10.76
1861,Ankara,Turkey,9.32
1862,Ankara,Turkey,9.53
1863,Ankara,Turkey,9.98
1864,Ankara,Turkey,9.95
1865,Ankara,Turkey,10.26
1866,Ankara,Turkey,10.13
1867,Ankara,Turkey,9.91
1868,Ankara,Turkey,9.97
1869,Ankara,Turkey,10.47
1870,Ankara,Turkey,10.24
1871,Ankara,Turkey,10.06
1872,Ankara,Turkey,11.03
1873,Ankara,Turkey,10.86
1874,Ankara,Turkey,10.19
1875,Ankara,Turkey,9.44
1876,Ankara,Turkey,10.49
1877,Ankara,Turkey,10.57
1878,Ankara,Turkey,10.78
1879,Ankara,Turkey,11.02
1880,Ankara,Turkey,9.22
1881,Ankara,Turkey,9.75
1882,Ankara,Turkey,9.81
1883,Ankara,Turkey,10.15
1884,Ankara,Turkey,9.65
1885,Ankara,Turkey,10.58
1886,Ankara,Turkey,10.31
1887,Ankara,Turkey,10.56
1888,Ankara,Turkey,10.01
1889,Ankara,Turkey,10.25
1890,Ankara,Turkey,10.15
1891,Ankara,Turkey,10.07
1892,Ankara,Turkey,10.68
1893,Ankara,Turkey,9.62
1894,Ankara,Turkey,9.54
1895,Ankara,Turkey,10.41
1896,Ankara,Turkey,9.89
1897,Ankara,Turkey,9.97
1898,Ankara,Turkey,10.16
1899,Ankara,Turkey,10.44
1900,Ankara,Turkey,10.88
1901,Ankara,Turkey,11.12
1902,Ankara,Turkey,10.35
1903,Ankara,Turkey,10.20
1904,Ankara,Turkey,10.03
1905,Ankara,Turkey,10.13
1906,Ankara,Turkey,10.13
1907,Ankara,Turkey,9.52
1908,Ankara,Turkey,9.53
1909,Ankara,Turkey,10.73
1910,Ankara,Turkey,10.26
1911,Ankara,Turkey,9.34
1912,Ankara,Turkey,10.28
1913,Ankara,Turkey,9.69
1914,Ankara,Turkey,9.92
1915,Ankara,Turkey,10.84
1916,Ankara,Turkey,11.23
1917,Ankara,Turkey,10.76
1918,Ankara,Turkey,10.57
1919,Ankara,Turkey,10.81
1920,Ankara,Turkey,9.44
1921,Ankara,Turkey,9.66
1922,Ankara,Turkey,10.82
1923,Ankara,Turkey,11.15
1924,Ankara,Turkey,10.52
1925,Ankara,Turkey,10.65
1926,Ankara,Turkey,10.99
1927,Ankara,Turkey,11.17
1928,Ankara,Turkey,10.50
1929,Ankara,Turkey,10.29
1930,Ankara,Turkey,11.24
1931,Ankara,Turkey,10.63
1932,Ankara,Turkey,10.27
1933,Ankara,Turkey,9.63
1934,Ankara,Turkey,10.62
1935,Ankara,Turkey,11.09
1936,Ankara,Turkey,10.91
1937,Ankara,Turkey,11.76
1938,Ankara,Turkey,10.62
1939,Ankara,Turkey,11.07
1940,Ankara,Turkey,10.86
1941,Ankara,Turkey,10.37
1942,Ankara,Turkey,10.30
1943,Ankara,Turkey,10.12
1944,Ankara,Turkey,10.94
1945,Ankara,Turkey,10.08
1946,Ankara,Turkey,10.99
1947,Ankara,Turkey,11.51
1948,Ankara,Turkey,10.04
1949,Ankara,Turkey,9.39
1950,Ankara,Turkey,10.06
1951,Ankara,Turkey,10.82
1952,Ankara,Turkey,11.37
1953,Ankara,Turkey,9.63
1954,Ankara,Turkey,10.87
1955,Ankara,Turkey,11.78
1956,Ankara,Turkey,9.89
1957,Ankara,Turkey,11.39
1958,Ankara,Turkey,11.17
1959,Ankara,Turkey,9.85
1960,Ankara,Turkey,11.29
1961,Ankara,Turkey,10.67
1962,Ankara,Turkey,12.13
1963,Ankara,Turkey,11.11
1964,Ankara,Turkey,9.98
1965,Ankara,Turkey,10.59
1966,Ankara,Turkey,12.28
1967,Ankara,Turkey,9.65
1968,Ankara,Turkey,10.82
1969,Ankara,Turkey,10.88
1970,Ankara,Turkey,11.35
1971,Ankara,Turkey,10.85
1972,Ankara,Turkey,9.84
